iteration,started_at_epoch,ended_at_epoch,duration_seconds,cpu_request,cpu_limit,memory_request,memory_limit,heap_mib,gc_type,java_opts,throughput,response_time_ms,error_rate_pct,cpu_usage_cores,cpu_request_cores,cpu_limit_cores,memory_usage_mib,memory_request_mib,memory_limit_mib,acceptable,objective_score,rollout_status,test_status,notes
21,1773468560.0943115,1773468914.4737704,354.379,550m,1300m,128Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,93.59638363636364,550.8629350169088,0.0,0.04012935356262803,0.55,1.3,123.0,128.0,256.0,True,256128457.26655138,success,success,
22,1773468914.4748862,1773469268.8136542,354.339,50m,200m,128Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,98.38181818181818,544.562868297615,0.0,0.03535719803369313,0.05,0.2,163.7421875,128.0,256.0,True,256128446.18105012,success,success,
23,1773469268.8148172,1773469623.1566253,354.342,150m,300m,384Mi,384Mi,256,UseG1GC,-Xms256m -Xmx256m -XX:+UseG1GC,101.71304347826086,510.3805074250874,0.0,0.05178482061851048,0.15,0.3,261.34375,384.0,384.0,True,384384408.66746396,success,success,
24,1773469623.1578321,1773469977.649412,354.492,850m,900m,128Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,95.44231696969698,507.53942688307325,0.0,0.040313628240396755,0.85,0.9,163.0234375,128.0,256.0,True,256128412.0971099,success,success,
25,1773469977.6506627,1773470332.1211324,354.47,150m,1100m,256Mi,384Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,95.56322454545455,512.1663998505676,0.0,0.03871562136992652,0.15,1.1,127.44140625,256.0,384.0,True,384256416.6031753,success,success,
26,1773470332.122393,1773470687.4680781,355.346,50m,100m,256Mi,512Mi,384,UseSerialGC,-Xms384m -Xmx384m -XX:+UseSerialGC,100.99130434782607,514.8005744160379,0.0,0.03775329377356891,0.05,0.1,195.5703125,256.0,512.0,True,512256413.8092701,success,success,
27,1773470687.4693627,1773471042.0193772,354.55,850m,1000m,256Mi,512Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,95.22148651515151,514.395057255156,0.0,0.038114860110398406,0.85,1.0,127.18359375,256.0,512.0,True,512256419.17357075,success,success,
28,1773471042.0207262,1773471396.466378,354.446,450m,600m,128Mi,512Mi,384,UseParallelGC,-Xms384m -Xmx384m -XX:+UseParallelGC,95.71899545454545,515.0690840393529,0.0,0.041336677184571756,0.45,0.6,196.81640625,128.0,512.0,True,512128419.3500886,success,success,
29,1773471396.467744,1773471750.9799306,354.512,50m,1600m,256Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,97.82438454545456,507.8129195502544,0.0,0.03950955312936398,0.05,1.6,123.0234375,256.0,256.0,True,256256409.98853502,success,success,
30,1773471750.9812992,1773472105.460274,354.479,50m,200m,128Mi,512Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,96.2533193939394,523.0704380478757,0.0,0.05039154641859346,0.05,0.2,164.06640625,128.0,512.0,True,512128426.81711864,success,success,
31,1773472105.4617183,1773472459.9755454,354.514,150m,1600m,256Mi,512Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,94.61800636363635,541.2408105331693,0.0,0.036954154811552405,0.15,1.6,163.125,256.0,512.0,True,512256446.62280416,success,success,
32,1773472459.9770947,1773472814.3042717,354.327,850m,1600m,256Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,96.90603492424239,529.9665551816724,0.0,0.04167885327750041,0.85,1.6,123.0,256.0,256.0,True,256256433.06052026,success,success,
33,1773472814.305745,1773473168.6757,354.37,350m,1800m,384Mi,512Mi,256,UseG1GC,-Xms256m -Xmx256m -XX:+UseG1GC,99.35454545454546,532.9575197348902,0.0,0.041346481421037466,0.35,1.8,211.7265625,384.0,512.0,True,512384433.60297424,success,success,
34,1773473168.6772697,1773473523.0560055,354.379,750m,1200m,512Mi,512Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,97.76521739130433,534.5641712398419,0.17476550216248044,0.035956077975196524,0.75,1.2,122.234375,512.0,512.0,True,512512436.7989539,success,success,
35,1773473523.0577133,1773473877.5684364,354.511,150m,800m,128Mi,384Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,97.04019727272727,493.689036620685,0.0,0.047758321726643585,0.15,0.8,163.62109375,128.0,384.0,True,384128396.64883935,success,success,
36,1773473877.570062,1773474231.9217017,354.352,50m,800m,128Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,94.13658545454545,525.2243513382033,0.0,0.04084529989157657,0.05,0.8,123.0390625,128.0,256.0,True,256128431.0877659,success,success,
37,1773474231.9233797,1773474586.2847934,354.361,150m,200m,128Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,95.78334401515153,516.8091823884547,0.0,0.043486701767378,0.15,0.2,163.45703125,128.0,256.0,True,256128421.02583838,success,success,
38,1773474586.2864878,1773474939.6947613,353.408,350m,1600m,256Mi,512Mi,384,UseG1GC,-Xms384m -Xmx384m -XX:+UseG1GC,96.0006321969697,527.7208724534465,0.0,0.04585580526094473,0.35,1.6,282.953125,256.0,512.0,True,512256431.72024024,success,success,
39,1773474939.69656,1773475294.1738815,354.477,750m,1900m,256Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,94.99680727272727,545.571001732848,0.0,0.040637233196483456,0.75,1.9,122.703125,256.0,256.0,True,256256450.57419446,success,success,
40,1773475294.175664,1773475648.5727046,354.397,50m,400m,512Mi,512Mi,256,UseParallelGC,-Xms256m -Xmx256m -XX:+UseParallelGC,96.15454545454546,561.3929686427989,0.11332514873925771,0.03925552715560359,0.05,0.4,161.97265625,512.0,512.0,True,512512465.2384232,success,success,
41,1773475648.574575,1773476002.981392,354.407,750m,1400m,128Mi,512Mi,384,UseG1GC,-Xms384m -Xmx384m -XX:+UseG1GC,97.65217391304347,537.3895294857005,0.0,0.04624100935090616,0.75,1.4,268.875,128.0,512.0,True,512128439.73735553,success,success,
42,1773476002.9833608,1773476357.3955789,354.412,50m,400m,384Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,99.19357954545455,486.0288477286388,0.0,0.046463194477505354,0.05,0.4,160.36328125,384.0,384.0,True,384384386.8352682,success,success,
43,1773476357.3974397,1773476710.7684195,353.371,350m,800m,256Mi,256Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,95.0538896969697,527.524945722165,0.0,0.042241351478371054,0.35,0.8,127.41796875,256.0,256.0,True,256256432.47105604,success,success,
44,1773476710.7703316,1773477064.161546,353.391,250m,600m,128Mi,384Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,96.61759545454545,537.2144215578244,0.0,0.039602206169465026,0.25,0.6,126.4921875,128.0,384.0,True,384128440.59682614,success,success,
45,1773477064.1634905,1773477417.5738368,353.41,150m,1800m,128Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,96.00472000000002,504.9828757549276,0.0,0.0400875131619087,0.15,1.8,122.3125,128.0,256.0,True,256128408.97815576,success,success,
46,1773477417.575861,1773477771.9614468,354.386,350m,600m,256Mi,384Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,96.59181212121212,506.7382012911875,0.0,0.039837287355440065,0.35,0.6,126.43359375,256.0,384.0,True,384256410.1463892,success,success,
47,1773477771.9635143,1773478126.404191,354.441,50m,200m,128Mi,384Mi,256,UseParallelGC,-Xms256m -Xmx256m -XX:+UseParallelGC,97.6990575,505.2422282154924,0.0,0.052257662097643626,0.05,0.2,162.25390625,128.0,384.0,True,384128407.5431707,success,success,
48,1773478126.4063067,1773478479.700598,353.294,450m,1500m,384Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,90.99104053030304,574.0353101343185,0.0,0.04361851423885491,0.45,1.5,160.875,384.0,384.0,True,384384483.0442696,success,success,
49,1773478479.702695,1773478834.159405,354.457,250m,700m,128Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,100.11749090909089,505.278592992304,0.0,0.04281740768790293,0.25,0.7,163.42578125,128.0,256.0,True,256128405.1611021,success,success,
50,1773478834.1617975,1773479187.5972512,353.435,50m,1100m,256Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,100.13043478260869,522.7542201226784,0.0,0.04183664312668996,0.05,1.1,122.7734375,256.0,256.0,True,256256422.62378535,success,success,
