iteration,started_at_epoch,ended_at_epoch,duration_seconds,cpu_request,cpu_limit,memory_request,memory_limit,heap_mib,gc_type,java_opts,throughput,response_time_ms,error_rate_pct,cpu_usage_cores,cpu_request_cores,cpu_limit_cores,memory_usage_mib,memory_request_mib,memory_limit_mib,acceptable,objective_score,rollout_status,test_status,notes
0,1773759688.7314973,1773760200.9923387,512.261,200m,300m,180Mi,300Mi,127,UseG1GC,-Xms127m -Xmx127m -XX:+UseG1GC,93.72822196969696,598.6505204157479,0.0,0.02409242587474824,0.2,0.3,162.9453125,180.0,300.0,True,300180504.9222985,success,success,
1,1773760200.992957,1773760755.3185785,554.326,50m,400m,384Mi,512Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,98.07366295454545,567.9431714629471,0.0,0.030998952040438902,0.05,0.4,123.77734375,384.0,512.0,True,512384469.8695085,success,success,
2,1773760755.3191612,1773761309.6693132,554.35,50m,500m,128Mi,512Mi,384,UseParallelGC,-Xms384m -Xmx384m -XX:+UseParallelGC,100.04269681818181,555.4497260317016,0.0,0.023333401850472228,0.05,0.5,194.50390625,128.0,512.0,True,512128455.4070292,success,success,
3,1773761309.669845,1773761863.9401941,554.27,50m,200m,128Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,98.3499003030303,578.0802427839561,0.0,0.024755715570154564,0.05,0.2,163.8671875,128.0,256.0,True,256128479.73034248,success,success,
4,1773761863.9407713,1773762418.30705,554.366,50m,2000m,256Mi,512Mi,384,UseG1GC,-Xms384m -Xmx384m -XX:+UseG1GC,98.71066181818182,581.4202825988552,0.0,0.02607405560290892,0.05,2.0,323.9140625,256.0,512.0,True,512256482.7096208,success,success,
5,1773762418.3076785,1773762972.5293715,554.222,650m,1800m,256Mi,256Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,99.14545454545456,603.1788188094573,0.0,0.026354492066762842,0.65,1.8,123.10546875,256.0,256.0,True,256256504.03336427,success,success,
6,1773762972.5300224,1773763526.800566,554.271,550m,600m,256Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,103.8086956521739,557.3082237092614,0.0,0.028841780645635726,0.55,0.6,160.5546875,256.0,384.0,True,384256453.49952805,success,success,
7,1773763526.8014498,1773764081.0971496,554.296,650m,700m,128Mi,384Mi,128,UseParallelGC,-Xms128m -Xmx128m -XX:+UseParallelGC,94.54713068181819,589.9854755520485,0.0,0.024888740000403024,0.65,0.7,127.24609375,128.0,384.0,True,384128495.43834484,success,success,
8,1773764081.0978467,1773764635.3178208,554.22,250m,400m,384Mi,384Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,97.34507113636363,574.0122404550509,0.0,0.025198764503836363,0.25,0.4,160.73046875,384.0,384.0,True,384384476.66716933,success,success,
9,1773764635.3186183,1773765189.6098099,554.291,850m,1500m,256Mi,256Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,95.59064795454546,592.6843130961173,0.0,0.027741841290044825,0.85,1.5,163.7734375,256.0,256.0,True,256256497.09366512,success,success,
10,1773765189.6106122,1773765831.8167117,642.206,950m,1000m,384Mi,384Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,,,,0.0016312708785803987,0.95,1.0,97.984375,384.0,384.0,False,inf,success,failed,JMeter failure: Command timed out after 600s: ./scripts/run_jmeter.sh
11,1773765831.8175945,1773766416.914523,585.097,50m,300m,256Mi,512Mi,256,UseSerialGC,-Xms256m -Xmx256m -XX:+UseSerialGC,99.65217391304348,594.2624640880217,0.0,0.027544194318341365,0.05,0.3,163.66796875,256.0,512.0,True,512256494.61029017,success,success,
12,1773766416.9154317,1773766971.2518833,554.336,150m,800m,256Mi,384Mi,256,UseG1GC,-Xms256m -Xmx256m -XX:+UseG1GC,92.72835969696972,602.4137780919019,0.0,0.02357462218750301,0.15,0.8,249.67578125,256.0,384.0,True,384256509.68541837,success,success,
13,1773766971.2527533,1773767525.5037856,554.251,250m,1200m,256Mi,384Mi,128,UseG1GC,-Xms128m -Xmx128m -XX:+UseG1GC,96.7755,576.9081839150883,0.0,0.02517121266859342,0.25,1.2,163.58203125,256.0,384.0,True,384256480.13268393,success,success,
14,1773767525.50482,1773768079.8204017,554.316,150m,900m,256Mi,512Mi,384,UseG1GC,-Xms384m -Xmx384m -XX:+UseG1GC,99.56217499999998,562.8023808878081,0.0,0.026793243191334064,0.15,0.9,304.95703125,256.0,512.0,True,512256463.2402059,success,success,
15,1773768079.8215542,1773768634.1431465,554.322,250m,800m,256Mi,384Mi,256,UseG1GC,-Xms256m -Xmx256m -XX:+UseG1GC,101.2971272727273,550.0777400235368,0.0,0.03307011819164881,0.25,0.8,248.76171875,256.0,384.0,True,384256448.78061277,success,success,
16,1773768634.144175,1773769188.336236,554.192,350m,1800m,384Mi,512Mi,128,UseSerialGC,-Xms128m -Xmx128m -XX:+UseSerialGC,94.32710227272729,621.6381056121498,0.0,0.023933688376410803,0.35,1.8,123.703125,384.0,512.0,True,512384527.3110034,success,success,
